,File Input,Label,Predictions,ProbPosNormal,ProbNegNormal,PredictionsStopRemoved
10,writer director darren stein comes jawbreaker poorly told tale can happen innocent birthday prank goes wrong reagan high four girls sitting top world courtney shane played rose mcgowan holds title meanest most disrespectful soul school everyone hates everyone due popularity courtney leader clique also includes julie played rebecca gayheart liz purr played charlotte roldan marcie played julie benz other three group lizs birthday julie courtney marcie will play seemingly innocent prank prank results death liz stupid teens any teen directed such foursome decide cover death make look murder committed someone else also other teen directed movies four dont agree hiding time character being julie finally other teen movies there witness outside group trying hide truth time character being fern mayo judy greer subject many cracks courtneys group well entire school here jawbreaker turns into predictable tale revenge bad morals least trying do right thing only script weak whole acting horrid thanks large amount main cast judy greer undeniably awful dimensional annoying character she overacts every line she also bad side acting julie benz almost falling annoying factor greer delivers positive side acting rose mcgowan performs well here doesnt match wickedly clever performance tatum 1996s scream mcgowans role annoying only adds she wickedly mean even though she wellwritten character downright hate even better than mcgowan rebecca gayheart always exceptionally believable roles script feeds two dimensional character she turns into three always putting strong emotion power into roles gayheart isnt given much do here she 1998s urban legend can still get strong taste acting skills jawbreaker jawbreaker drifts different sub plots throughout hardly throwing anything viewer get absorbed we get way off topic jawbreaker incident get into things dont anything do actual beginning ending strong middle needs lot help during body undeniably repetitive never progressing towards conclusion nothing grab viewers interest around same extremely annoying song plays over over again jawbreaker tries get off same time humor used 1995 clueless falls flat few gags actually work die off quickly die off bang horrible disappointment bottom line tagline reads even sweetest sour death inside yes too true no matter how good may looked fails deliver,0,0,-4197.378037242136,-4114.751050781686,0
11,well there goes another sadly other movies year wasnt good being almost bad omega code quite opening credits had good feeling would bad well guess right bad excuses acting horrible screenplay bad direction bachelor terribly unfunny doesnt work any levels accept fact rene does give good performance two cameos brooke shields mariah carey also good brooke being best troubled start because chris odonnell hugely miscast gives worst performances date here stupid plot chris odonnell plays jimmie shelton man broken girlfriend meets anne rene instantly hit off together three years jimmie decides wants bring relationship little bit really doesnt realize anne thinks wants marry wants never did catch proposes really bad way she shoots him down very mad course tries apologize nothing seems help any then grandfather dies learns left jimmie 100 million dollars long marries before next day 6 05 pm now jimmie must find anne try marry get money because loves get married someone else get money itself leading unfunny predictable ending leaves bad taste our mouths ok maybe could dumbest cliched silliest romantic comedy date no real big laughs even supporting roles artie lange hal ed arent even good plot good idea script would been written less than five minutes five year old choppy dialogue bad directing dont help things any even though chris odonnell gave ok performance two batman movies does give even remotely good funny performance here wanted boo throw my pop screen get rid him rene different story gave charming sweet likable performance usual really only thing saved confused being total huge washout sister played marley shelton also good two good chemistry onscreen brooke shields showed funny little performance mogul after while became routine old really cant help think we seen stuff before original idea end everyone knows going happen due do cliches bachelor works no good levels fact doesnt work ed hal were wasted terrible roles mariah carey can act save soul could only career terrific music career chris odonnell bad actor casper van dien saying great deal seems held back really doesnt get into character much after even first 30 minutes gets annoying old artie lange me seems trying another chris farley completely unfunny unnerving why filmmakers would want waste such cast such bad such bad acting dialogue question only will know maybe thought would become hit critical success sometimes dont agree other critics movies even trailers made look bad showed mildly funny parts based 1925 silent seven chances am sure very better than mess even though may think good date most see will want pull hair scream money back besides being terrible bachelor well terrible nothing worth recommending therefore really cant recommend did good time laughed only three times running time 106 minutes over time needs shortened least thirty minutes parts seems go forever parts seem last enough time being worst movies year we can sure hope will make anymore stupid unfunny romantic comedies if do give filmmakers,0,0,-5770.970405414084,-5659.651032828708,0
12,my inner flag last year nick nite pulled dragnet reruns off air sure id seen them least once could always count least few inadvertent laughs jack webb there nothing else tv even though dragnet circulation moment we webb still d 50s propaganda piece military almost hilarious famous blue boy episode dragnet anyone me got laughs rapidfire speeches straightfaced seriousness think d would happen if sgt joe friday ever enlisted because plays exactly same character here nononsense old fart looks disdain younger generation loves give long winded melodramatic speeches any topic election year im convinced than ever webb bob dole were separated birth opens characteristic fashion recruit after another knocks office door enters gives each different series cranky criticisms before credits come produced directed jack webb card pretty much goes without saying way after first twenty minutes him chewing recruits no reason wondering if there would even plot certainly would been entertained hour half trademark webb rants d gives us much mission make man private owens local screwup captain gives webb three days convert owens into marine material captain will personally cut off panties ship him myself whether panties part refers webb owens remains unanswered course gives webb excuse focus crotchety energy making owens life living hell those havent been indoctrinated into pleasures webb watching heres typical monologue cant duplicate hilarious delivery paper words should least partially convey im talking now listen me youngster someday youll wake fighting beach youll pray god somebody doesnt get killed because your foolishness ive got headline every time make those little mistakes yours youre gonna turn around ill standing right there couldnt write down dialogue d nearly belongs bad hall fame tried include noteworthy lines scene where webb hard days work going local bar where orders juice meets woman coincidentally also orders juice walks away conversation webb flirt archrival another marine d webb marches over table gets face says kind dame do think bogart aint other d gets few memorable lines confesses girl hes damn good d guess im little jealous join club were jealous jack way women showcased even amusingly later scene webb finds way womans place employment lingerie store stands around looking incredibly flustered display expect me talk here exclaims no doubt intimidated barrage bras woman goes off help customer leaving webb fend himself once again palace little girl spots him store demands doing here youre man arent doesnt reply know hes thinking head odd species human small must those children everyones been talking poor girl scarred life early encounter jack webb would later swear off male gender entirely many lesbian conversions hes responsible doesnt focus too closely romance also continues owens subplot probably most memorable scene entire where webb forces platoon spend entire night searching ground owens killed during drills after two privates hatch scheme present webb wrong dead webb asks owens killed male female owens replies male sir webb yells platoon aint such scene along rest intended taken seriously defies comment we know presented utmost seriousness title card end thanks marines only cooperation making d guadalcanal every other major battle first half 20th century webb held military such high esteem soldiers exception owens were played actual marines someone wanting parody couldnt do comical job than webb did makes ironic your wedding day man had no sense humor himself theres scene where guys break time discussing something them breaks into laughter webb bursts room shouts did tell laughing private replies sir only nineyearold girls laugh sir let me tell happy nineyear old girl while watching,0,0,-7290.510491526423,-7263.122785380427,0
13,frank bill murray single dad lives beer junk food no apparent understanding hygiene much dismay preteen daughter shane elena franklin uses 10 second rule retrieve hard boiled egg chimps cage zoo downs introduces lethal bacteria into system inside skin city frank turmoil thanks mayor voice william shatner frank pd white blood cell voice chris rock save day peter bobby farrellys osmosis jones city frank brightly animated animation directed piet kroon tom sito cellular where osmosis jones typical rogue cop looking another chance hes inadvertently teamed drix voice david hyde pierce tvs frasier cold capsule 12 hours worth painkillers dispense duo go fantastic voyage order hunt down thrax voice laurence fishburne virus intent shutting down frank while animation certainly colorful look osmosis jones story hackneyed story cries puns we only get occasional wit bodily humor drix graduated phi beta capsule departs bus headed bladder neither hero villain particularly interesting thrax looks animated predator although hyde pierce delightful sidekick adults can desperately keep eyes peeled small amusements animators dot along landscape meanwhile back live action land bill murray reduced nothing than walking grossout joke theres no particular enjoyment found watching him vomit molly shannon she plays shanes teacher mrs boyd onto restaurant table must wonder how climatic childs father will play family audience well rest assured whole wrapped fart joke while far less offensive than farrellys last effort me myself irene least spiked comic highs jim carreys hijinx osmosis jones will probably ok kids farrellys playing family audience watching marilyn manson croon phil collins tune,0,0,-3052.3800063424987,-3045.489109492696,0
14,too bad leap faith title 1992 comedy starring steve martin debra because thats whats required watch incredulous howler starring bruce willis psychologist since reagan administration there been acting stretch such magnitude alas mickey rourke we hardly knew ye story opens campy treating patient abruptly steps window take best flying leap since charles durning dove hudsucker proxy she goes splat goes ugh character spends rest really good doctor then moves sunny l where rooms old college chum scott bakula therapist whos getting death threats someone monday evening group buddy bites second reel no surprise there willis agrees take over both group death threats troubles therapy man willis gets share love scenes lovers jane march while dodging nails cars snakes color night worst year period forget north clifford heaven help us even deadly ground here misfire audaciously awful cant help wonder how actors kept straight faces while filming starters group collection mixed nuts better suited bob newhart than bruce willis these realistic portrayals mentally unhealthy playing prissy obsessivecompulsive cuckoos nest alumni brad dourif alone may set psychology profession back ten years plots wreck laughable dialogue pointless pov shifts big secret first fifteen minutes director richard rush once helmed freebie bean doesnt seem mind plot characterizations enough canny camera shots zany setpieces make effort almost worth watching token freeway chase ok director fun ending ala most recently fatal analysis acting credits awful willis can forgiven because hes filming die hard 3 we speak ruben blades insulting presence cop ann warrens stereotypical sex addict worst offender jane march shudder bottom line how kept straight faces ill never know,0,0,-3089.084868968654,-3045.9762417224674,0
15,theres only presidential election every four years seems every few months we get another presidential conspiracy painted thriller year 1997 weve had absolute power air force shadow conspiracy murder 1600 lame duck old gerald ford trying bring us complex plot coverup intrigue copping over over again rehashes action flick heres happens time night white house secretary having sex unidentified guy cute butt next day shes dead hotshot detective wesley snipes called how do we know hes hotshot weve seen traditional action flick opener clever hostage negotiation scene clever time consisting snipes disarming suicidal employee holding gun head middle street snipes off white house where finds secret service head shiny bald head daniel benzali wont him fact if intervention national security adviser alan alda snipes wouldnt been allowed white house alda helps snipes further assigning sexy secret service agent diane lane act liaison very dangerous liaison well really wanted say almost immediately suspect found eccentric night janitor seen flirting deceased security videos snipes doesnt buy launches into independent investigation own reveals planted evidence romantic involvement presidents son snipes partner always wisecracking dennis miller calls him every once awhile news lane first doesnt believe snipes eventually predictably comes around risks ass break into social security storage break classified information first hour murder 1600 looks could going somewhere interesting sure we sit through lame opening sequence plenty lame scenes after whole murder white house thing makes interesting premise never quite delivered upon snipes lane dont make bad action team nothing work theyre cogs bad machine dennis miller might well even waste talents murder 1600 than did blood thats saying lot get last halfhour descended metaphorically literally into wet sewer busting old underground climax finally reveal killed woman why youll wish never sat through 1600 movies title doesnt represent address represents number satisfied customers worldwide serving world nearly 125th century,0,0,-3738.936496234841,-3711.753675543625,0
16,ah 1999 going along well too shes dubious distinction being worst ive seen far year quite frankly doubt ill see anything equally bad least hope dont see anything equally bad shes tells story most popular guy school played freddie prinze jr accepts bet transform girl school rachel leigh cook into most popular right there problem 1 how many times we seen storyline cook comments near end kind pretty woman except without prostitution course had filmmakers attempted try something new material wellworn storyline would been device forward though shes relies completely lame overused formula push ahead theres original interesting character either if wasnt bad enough theres good performance featured star rachel leigh cook simply horrible usually dont get personal case think needs said cook wears same expression throughout flick looks having miserable time never convinced she nerd transformation unconvincing unnecessary seems saying better popular than freddie prinze jr actor ordinarily enjoy too quite bad here coasts through socalled charm never establishes real character culkin here too brother cook reason hes got hearing aids no explanation given theyre never brought were we supposed feel sorry him because wore hearing aids dont think single element most offensive things ive seen long time shes sucks thats boils down entertaining even good time hour half running time goes slower than 5 minute system informercial whats worse sends bad message teens appears telling them hey doesnt matter if youre happy way thats unimportant if want truly happy dress latest fashions act moron ugh,0,0,-3041.173012395898,-2986.604956290843,0
17,michael robbins quite cinematic achievement two hours we get glancing examination ghetto life funeral heartfelt eulogy speeches never giving cache cute kids including fat asthma gambler finds salvation good woman climactic big game where underdogs prove bigger bite than anyone ever imagined thats needed guy getting hit nuts food fight first solely based cinematic clich s cant wait see deleted scenes comes dvd obviously strikeout never gets bat anywhere near ball stars keanu reeves aforementioned gambler seems owe every bookie chicago amount money rivals gross national product solutions begs successful corporate friend always welcome mike mcglone lend him 5 000 instead mcglone offers reeves chance help him coach youth baseball team projects nice weekly reeves wants keep fingers accepts offer discovers mcglone only too happy let him handle team entirely protagonist must teach sassy inner city kids baseball basics life absentee parents merciless gangs maybe maybe theyll play big championship game glorious surprises screenplay john gatins summer catch adapted daniel coyles nonfiction book there arent any coasts heartfelt moment heartfelt moment zombie wouldnt bad if characters had ounce subtlety humanity them most kids time spent yelling each other talking slang acting surprised theres little thats naturally amusing them seem know cameras rolling worst lot toughtalking younger player warren whose sole purpose unfolds being emotional pawn tactic utterly despicable cant find right words express myself adults also dont fare well reeves impressively uninspiring loser character poorly written reeves gives another performance every time speaks sounds got long nap gradually waking kids supposed rally around guy diane lane costars reeves obligatory love interest remains glowing screen presence see my dog skip better proof too bad role here consists uttering lines these kids trust dont trust anyone then theres d b sweeney evil rival coach john hawkes reeves scummy betting buddy other unoriginal characters youve seen before hope never see again wanted good robbins varsity blues funny alternately taut tale texas high school football had ali larter whipped cream jon voight sneering everything moved havent seen robbins goofy ready rumble entirety am intrigued macho man randy savage martin landau can exist same without there being serious worldwide repercussions robbins obviously needs go back forte making sports movies guys cutesy cuddly such also manages annoy insult audience heres hoping happens immediate future,0,0,-4502.600255861184,-4451.014471261353,0
18,know something christmas presents overhyped holiday films lots merchandising product tieins least would seem message been advertised since last christmas whose logo currently plastered over stores hollywood expects us ignore cynical greed us losing true spirit season know plot theres evil furry green guy called jim carrey lives mountain overlooking down below whos preparing determined steal christmas course liveaction version beloved childrens book previously adapted into 1966 tv special looney tunes animator chuck jones rare big budget hollywood release thirtyyearold halfhour cartoon thats case jones version compared ron howards tv hit right notes boris karloffs soft deep narration singing mr max dog weighed down gigantic tied head wide toothless grin contrast hits sour note after another first there numerous bad choices jeffrey price peter seaman made padding short book into young wideeyed cindy lou taylor depressed misplaced parents bill irwin molly shannon during holiday season she begins sympathize turns surprisingly sympathetic cindy lou discovers turned tearfully away grammar school publicly humiliated while expressing love girl class martha may played adult christine baranski we expected hate whos want him steal christmas isnt even villain here role filled corrupt mayor jeffrey tambor rival marthas affection only characters needlessly complex plot becomes convoluted actual theft christmas seems afterthought casting choices arent any better than screenwriting decisions jim carrey seems woefully miscast while face rubber makeup seems superfluous carrey brings nothing else role accent keeps changing assume shooting karloff ends sounding weird richard nixon sean connery cartman south park knowing else do during many scenes alone home carrey falls back standup comedy clowns around ace needless say wisecracking antics dont quite fit character embittered loner filled hate little taylor brings little role cindy lou except big eyes cute smile she would been fine if cindy lou limited original purpose story finding santa living room stealing tree however expanded script makes cindy important challenge bottom line youre stealing christmas movies leave behind,0,0,-3926.78372286657,-3905.344739383823,0
19,following splendid debut hugh hudsons greystoke relative success first highlander looked christopher acting career might go somewhere wasnt meant became obvious following highlander ii decade christopher lambert became associated films low budgets even lower quality very often such films were science fiction meant fans genre learned hard way evade anything starring christopher lambert whether because real lack talent terrible miscasting simple bad luck isnt important end result almost always horrible same can said fortress 1993 science fiction directed stuart gordon director created cult following 1980s horror reanimator beyond set reason usa introduced strict population control couples barred having than child jake christopher lambert karen lori broke law caught authorities border sentenced 31 years prison both thrown into fortress privately owned facility stateoftheart futuristic technology run computer called zed although every aspect inmates lives make any escape impossible prison authorities often use violence jake survives many ordeals earns respect inmates would help him begins escape such escape should become necessity because warden poe smith begins showing unhealthy interest karen after rather intriguing beginning interesting special effects depict futuristic settings prison soon starts sinking into mediocrity reason screenplay quickly degenerates into whole series prison clich s situations painfully predictable time begins escape fortress those situations only begin look predictable utterly implausible too course never tried explain why country lacks resources support present population happens spend money supertechnology sole intention keeping alive most useless dangerous members society initially interesting plot done even wrong stereotyped characters played too interested talented actors lori although physically attractive shows acting ability smith prison warden rather uninspired capable solid yet forgettable performance performance also good even bigger talent couldnt help destined end oblivion,0,0,-3153.818438952016,-3138.293156541633,0
